1 2 3 4 5 6 7 8 9 
1000 200 1500 350 5000 1000 1000 2000 13000 
5 10 5 20 10 5 10 20 10 
60 20 1000 1000 60 20 10000 20 500 
20 1000 50 2000 50 500 1500 20 3000 
20 1000 50 2000 50 5000 1500 20 300 
1000000000 1000000000 1 1 1 1 1 1 1
342343434 1000000000 234333333 21342134 12341234 12345345 3455555 5645656 5 
234234 12341234 1234234 4563456 5674576 476476 45764576 45764576 23452345 
21341234 12341234 12341234 234334 56456 4563456 34563456 78768 5685678 
23423423 23 3 34234 234234 234234 234234 456456 78 
